NO,회사명,공고명,지역,상세보기 페이지
1,(주)디자인그룹나인,[파견/12개월/기흥] 대기업 파이썬 개발자 모집,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250002153&src=etc*search
2,(주)디자인그룹나인,[파견/9개월/수원] 대기업 파이썬 고급 개발자 모집,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150001067&src=etc*search
3,(주)코레이즈홀딩스,파이썬(flask) 웹 개발자 채용,서울 성동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110005301&src=etc*search
4,(주)디자인그룹나인,[파견/12개월/기흥] 대기업 파이썬 고급 개발자 모집,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080003132&src=etc*search
5,삼일피더블유씨엑셀러레이션센터,[삼일피더블유씨엑셀러레이션센터] 업무자동화(RPA) 엔지니어 채용 (신입),서울 용산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604280001984&src=etc*search
6,(주)디자인그룹나인,[파견/4개월/강남or가산] 기업내 재난관리시스템 AI개발자 모집,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080002913&src=etc*search
7,(주)체스트넛,"임베디드 C, C++  개발자",서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604100000367&src=etc*search
8,(주)에이치알타운,바이오 신약개발 전문업체 AI연구팀장 모집,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604210001085&src=etc*search
9,연세대학교의료원 산학협력단,연세대학교 의생명시스템정보학과 서버/소프트웨어 엔지니어 모집,서울 서대문구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150000252&src=etc*search
10,엔아이스퀘어,응용 시스템 개발자 모집,광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240001032&src=etc*search
11,제노솔루션주식회사,[제노솔루션] 모의해킹 / 취약점 점검 경력 채용,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180000313&src=etc*search
12,지니코딩스쿨컴퓨터학원,IT교육/프로그래밍강사/컴퓨터강사/AI교육강사,부산 해운대구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070001162&src=etc*search
